change_id,comparison_month,before_snapshot_date,after_snapshot_date,change_type,semantic_type,source_name,record_identity,source_record_id,changed_fields,old_value,new_value,source_url,interpretation_note
chg-fadab8b5305fe903,2026-09,2026-08-23,2026-09-01,capital_project_phase_changed,,capital_improvements,CAPITAL_IMPROVEMENTS|NATIVE|1002935,1002935,capital_phase,"{""capital_phase"": ""P4: Construction""}","{""capital_phase"": ""P2: Design""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002935.pdf,Values are source-reported states observed at two retrieval times.
chg-d9ed18f52df7c974,2026-09,2026-08-23,2026-09-01,capital_project_phase_changed,,capital_improvements,CAPITAL_IMPROVEMENTS|NATIVE|SW60001,SW60001,capital_phase,"{""capital_phase"": ""P2: Design""}","{""capital_phase"": ""P3: Procurement""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2fSW60001.pdf,Values are source-reported states observed at two retrieval times.
chg-70a31dd60cf8b936,2026-09,2026-08-23,2026-09-01,capital_project_phase_changed,,capital_locations_line,CAPITAL_LOCATIONS_LINE|NATIVE|TRANS20186,TRANS20186,capital_phase,"{""capital_phase"": ""P2: Design""}","{""capital_phase"": ""P5: Closeout""}",https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CityWideProjectsPublic/FeatureServer/1,Values are source-reported states observed at two retrieval times.
chg-f76d17d88edd6c45,2026-09,2026-08-23,2026-09-01,capital_project_phase_changed,,capital_locations_line,CAPITAL_LOCATIONS_LINE|NATIVE|TRANS20187,TRANS20187,capital_phase,"{""capital_phase"": ""P2: Design""}","{""capital_phase"": ""P4: Construction""}",https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CityWideProjectsPublic/FeatureServer/1,Values are source-reported states observed at two retrieval times.
chg-b3e4a5bff0af0e26,2026-09,2026-08-23,2026-09-01,capital_project_phase_changed,,capital_locations_line,CAPITAL_LOCATIONS_LINE|NATIVE|TRANS20198,TRANS20198,capital_phase,"{""capital_phase"": ""P1: Planning""}","{""capital_phase"": ""P2: Design""}",https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CityWideProjectsPublic/FeatureServer/1,Values are source-reported states observed at two retrieval times.
chg-da12384c1e11d6df,2026-09,2026-08-23,2026-09-01,capital_project_phase_changed,,capital_locations_point,CAPITAL_LOCATIONS_POINT|NATIVE|TRANS10023,TRANS10023,capital_phase,"{""capital_phase"": ""P4: Construction""}","{""capital_phase"": ""P5: Closeout""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2fTRANS10023,Values are source-reported states observed at two retrieval times.
chg-702c4da4cf6a9b8f,2026-09,2026-08-23,2026-09-01,capital_project_phase_changed,,capital_locations_polygon,CAPITAL_LOCATIONS_POLYGON|NATIVE|SW250001,SW250001,capital_phase,"{""capital_phase"": """"}","{""capital_phase"": ""P5: Closeout""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1000751.pdf,Values are source-reported states observed at two retrieval times.
chg-65aba28a229e942d,2026-09,2026-08-23,2026-09-01,capital_project_phase_changed,,capital_locations_polygon,CAPITAL_LOCATIONS_POLYGON|NATIVE|SW250002,SW250002,capital_phase,"{""capital_phase"": ""P3: Procurement""}","{""capital_phase"": ""P5: Closeout""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1000751.pdf,Values are source-reported states observed at two retrieval times.
chg-675b0fecd724c505,2026-09,2026-08-23,2026-09-01,capital_project_phase_changed,,capital_locations_polygon,CAPITAL_LOCATIONS_POLYGON|NATIVE|SW250003,SW250003,capital_phase,"{""capital_phase"": """"}","{""capital_phase"": ""P3: Procurement""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f,Values are source-reported states observed at two retrieval times.
chg-3e444aea636cfd02,2026-09,2026-08-23,2026-09-01,capital_project_phase_changed,,capital_locations_polygon,CAPITAL_LOCATIONS_POLYGON|NATIVE|SW40004,SW40004,capital_phase,"{""capital_phase"": ""P4: Construction""}","{""capital_phase"": ""P5: Closeout""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1000750.pdf,Values are source-reported states observed at two retrieval times.
chg-a9ae8f2eaef7bbb0,2026-09,2026-08-23,2026-09-01,capital_project_phase_changed,,capital_locations_polygon,CAPITAL_LOCATIONS_POLYGON|NATIVE|SW50006,SW50006,capital_phase,"{""capital_phase"": """"}","{""capital_phase"": ""P1: Planning""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001171.pdf,Values are source-reported states observed at two retrieval times.
chg-f6fd792e157ea0fb,2026-09,2026-08-23,2026-09-01,capital_project_phase_changed,,capital_locations_polygon,CAPITAL_LOCATIONS_POLYGON|NATIVE|SW50019,SW50019,capital_phase,"{""capital_phase"": ""P2: Design""}","{""capital_phase"": ""P3: Procurement""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2fSW50019.pdf,Values are source-reported states observed at two retrieval times.
chg-594cfdcbe72fc672,2026-09,2026-08-23,2026-09-01,capital_project_phase_changed,,capital_locations_polygon,CAPITAL_LOCATIONS_POLYGON|NATIVE|SW60001,SW60001,capital_phase,"{""capital_phase"": ""P2: Design""}","{""capital_phase"": ""P4: Construction""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2fSW60001.pdf,Values are source-reported states observed at two retrieval times.
chg-3b41eb00f59195d0,2026-09,2026-08-23,2026-09-01,capital_project_phase_changed,,capital_locations_polygon,CAPITAL_LOCATIONS_POLYGON|NATIVE|SW60004,SW60004,capital_phase,"{""capital_phase"": ""P4: Construction""}","{""capital_phase"": ""P2: Design""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001955.pdf,Values are source-reported states observed at two retrieval times.
chg-0e241c1a5a4fccb6,2026-09,2026-08-23,2026-09-01,capital_project_phase_changed,,capital_locations_polygon,CAPITAL_LOCATIONS_POLYGON|NATIVE|SW60006,SW60006,capital_phase,"{""capital_phase"": ""P4: Construction""}","{""capital_phase"": ""P5: Closeout""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001955.pdf,Values are source-reported states observed at two retrieval times.
chg-2ed12310ea7152d8,2026-09,2026-08-23,2026-09-01,capital_project_phase_changed,,capital_locations_polygon,CAPITAL_LOCATIONS_POLYGON|NATIVE|SW60007,SW60007,capital_phase,"{""capital_phase"": ""P2: Design""}","{""capital_phase"": ""P4: Construction""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001955.pdf,Values are source-reported states observed at two retrieval times.
chg-25c098625728eac4,2026-09,2026-08-23,2026-09-01,description_changed,,capital_improvements,CAPITAL_IMPROVEMENTS|NATIVE|1001809|GLOBALID|{822B4F71-1600-4EF4-B888-D05470371B37},1001809,description,"{""description"": ""This project provides for the complete rehabilitation of Sulphur Springs Pumping Station at 7902 N. 13th St. The project will serve to replace the existing wet-dry type pumping station with a more efficient, reliable, and serviceable submersible pumping station. It includes demolition of above ground building structure, pumps and electrical equipment and installation of new submersible pumps, piping, valves, control panel and electrical upgrades. The new electrical and control equipment will be installed aboveground and will be designed to provide protection from flooding and wind damage associated with storm events. The project also includes the installation of a backup generator to maintain station operation in the event of a power loss.""}","{""description"": ""This project provides for the complete rehabilitation of Sulphur Springs Pumping Station at 7902 N. 13th St. The project will serve to rehabilitate the existing wet-dry type pumping station. This project will include replacement of pumps, piping, valves, and electrical improvements to ensure continued reliability of the station. The project also includes the installation of a backup generator to maintain station operation in the event of a power loss.""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001809.pdf,Values are source-reported states observed at two retrieval times.
chg-8119da9834f66242,2026-09,2026-08-23,2026-09-01,description_changed,,capital_improvements,CAPITAL_IMPROVEMENTS|NATIVE|1002016.2,1002016.2,description,"{""description"": ""This project provides for the replacement of the force main that serves the Sherwood Heights Pumping Station. Proposed 2,350 feet of 8” force main on 26th St between 111th and 109th Avenues and 25th Street between 109th Avenue and Bougainvillea.""}","{""description"": ""This project provides for the replacement of the force main that serves the Sherwood Heights Pumping Station. Proposed 2,475 feet of 8” force main on 26th St between 111th and 109th Avenues and 25th Street between 109th Avenue and Bougainvillea.""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002016.2.pdf,Values are source-reported states observed at two retrieval times.
chg-e6797e30129dea83,2026-09,2026-08-23,2026-09-01,description_changed,,capital_improvements,CAPITAL_IMPROVEMENTS|NATIVE|1002588.2|GLOBALID|{1E6A37E9-9295-4A4F-8679-381A1960E402},1002588.2,description,"{""description"": ""This project provides for the replacement of the force main that serves the Interbay Pump Station at Tyson and Interbay. Proposed 1,100 feet of 8” force main on Tyson Ave to Crescent and Country Club Ave.""}","{""description"": ""This project provides for the replacement of the force main that serves the Interbay Pump Station at Tyson and Interbay. Proposed 1,200 feet of 8” force main on Tyson Ave to Crescent and Country Club Ave.""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002588.2.pdf,Values are source-reported states observed at two retrieval times.
chg-8051d2b42b940402,2026-09,2026-08-23,2026-09-01,description_changed,,capital_improvements,CAPITAL_IMPROVEMENTS|NATIVE|1002588.2|GLOBALID|{64F2E115-E1A0-4BFA-9045-3B396C31F081},1002588.2,description,"{""description"": ""This project provides for the replacement of the force main that serves the Gunlock Pump Station at N Gunlock Ave and W Idlewild Ave. Proposed 2,500-ft of 10” force main from the Gunlock Pump Station to the Burke Pump Station on W Idlewild Ave, while maintaining the existing force main connection at Lincoln Avenue.""}","{""description"": ""This project provides for the replacement of the force main that serves the Gunlock Pump Station at N Gunlock Ave and W Idlewild Ave. Proposed 2,500-ft of 10” force main from the Gunlock Pump Station to the Burke Pump Station on W Idlewild Ave.""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002588.2.pdf,Values are source-reported states observed at two retrieval times.
chg-c3d0af820d321ded,2026-09,2026-08-23,2026-09-01,description_changed,,capital_improvements,CAPITAL_IMPROVEMENTS|NATIVE|1002588.2|GLOBALID|{95D0E699-7771-4ADB-BA4A-D7B67864DCE7},1002588.2,description,"{""description"": ""This project provides for the replacement of the force main that serves The 122nd Ave Pump Station, located at E 122nd Ave, west of Bruce B Downs Blvd. Proposed 1,100 feet of 8” PVC force main north on Bruce B Downs Blvd and connecting to the16” 30th St force main.""}","{""description"": ""This project provides for the replacement of the force main that serves The 122nd Ave Pump Station, located at E 122nd Ave, west of Bruce B Downs Blvd. Proposed 1,100 feet of 8” PVC force main north on Bruce B Downs Blvd and connecting to the 16” 30th St force main.""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002588.2.pdf,Values are source-reported states observed at two retrieval times.
chg-3e0a0d93850ce7b0,2026-09,2026-08-23,2026-09-01,description_changed,,capital_improvements,CAPITAL_IMPROVEMENTS|NATIVE|1002661,1002661,description,"{""description"": ""This project provides for the replacement of the force main that serves the Lakeshore pumping station. Proposed 3,100 LF of 12” FM replacement.""}","{""description"": ""This project provides for the replacement of the force main that serves the Lakeshore pumping station. Proposed 4,000 LF of 12” FM replacement.""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002661.pdf,Values are source-reported states observed at two retrieval times.
chg-4c0c42f550fab6d1,2026-09,2026-08-23,2026-09-01,description_changed,,capital_improvements,CAPITAL_IMPROVEMENTS|NATIVE|TBD,TBD,description,"{""description"": ""This project includes the rehabilitation of approximately 29,000 linear feet of 8-inch diameter gravity sewers and the rehabilitation of 123 manholes.""}","{""description"": ""This project includes the rehabilitation of approximately 42,000 linear feet of 8-inch through 21\"" diameter gravity sewers and the rehabilitation of 312 manholes.""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2fTBD.pdf,Values are source-reported states observed at two retrieval times.
chg-8560e68252d5947f,2026-09,2026-08-23,2026-09-01,description_changed,,construction_inspections,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-25-0514063,BLD-25-0514063,description,"{""description"": ""NEW SINGLE FAMILY TOWNHOME - LOTS 1, 2, 3, 4, 5, 6, 7, 8 - BLOCK T7 - UTILITY PERMIT - UTL-22-0000963 3-story, 8 unit fee simple townhouses with attached garage, front porch and balcony Master Site-BLD-22-0493477""}","{""description"": ""NEW SINGLE FAMILY TOWNHOME - LOTS 1, 2, 3, 4, 5, 6, 7, 8 - BLOCK T7 - UTILITY PERMIT - UTL-22-0000963 3-story, 8 unit fee simple townhouses with attached garage, front porch and balcony Lot 1/Unit 1 - Physical Address: 1447 W Chestnut St Lot 2/Unit 2 - Physical Address: 1445 W Chestnut St Lot""}",https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=0063E&agencyCode=TAMPA,Values are source-reported states observed at two retrieval times.
chg-79b0a515ee4b2b26,2026-09,2026-08-23,2026-09-01,description_changed,,construction_inspections,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-25-0517895,BLD-25-0517895,description,"{""description"": ""REISSUE - Current permit is BTR-25-0608267 but the owner wants to do some electrical and plumbing work. Replacing drywall on walls and ceilings. Floor plan to remain the same. Original Application Date 8/7/2025""}","{""description"": ""REISSUE - Current permit is BTR-25-0608267 but the owner wants to do entire removal and replacement of electrical, plumbing, and mechanical.. Replacing drywall on walls and ceilings. Floor plan to remain the same. Original Application Date 8/7/2025""}",https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=026W2&agencyCode=TAMPA,Values are source-reported states observed at two retrieval times.
chg-d6604eefdc9a3bd1,2026-09,2026-08-23,2026-09-01,description_changed,,construction_inspections,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-25-0518096,BLD-25-0518096,description,"{""description"": ""Repairing fire damaged framing and siding on the rear corner of the building, Electrical""}","{""description"": ""Apartment B. Repairing fire damaged framing and siding on the rear corner of the building, Electrical""}",https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=028RM&agencyCode=TAMPA,Values are source-reported states observed at two retrieval times.
chg-aba79e2323095cb9,2026-09,2026-08-23,2026-09-01,description_changed,,construction_inspections,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-25-0518573,BLD-25-0518573,description,"{""description"": ""Repair the interior of the detached unit on this property. Repair drywall and paint. New floors. Update existing bathroom. New kitchen cabinets and countertop.""}","{""description"": ""Repair the interior of the detached unit on this property. Repair drywall and paint. New floors. Update existing bathroom. New kitchen cabinets and countertop. Add minisplit""}",https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=02ELQ&agencyCode=TAMPA,Values are source-reported states observed at two retrieval times.
chg-6f21f341c0b819f8,2026-09,2026-08-23,2026-09-01,description_changed,,construction_inspections,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-26-0522592,BLD-26-0522592,description,"{""description"": ""Early start for interior, non-structural work Only. No inspections may be scheduled until the permit is issued. Original work description. Remodel fire repair to Bldg G apts unit 1-18 includes Bldg, Mechanical, Electrical, Plumbing, and F/P. Site related work: sidewalk removal for new overpo""}","{""description"": ""PP Inspections: Early start for interior, non-structural work Only. No inspections may be scheduled until the permit is issued. Original work description. Remodel fire repair to Bldg G apts unit 1-18 includes Bldg, Mechanical, Electrical, Plumbing, and F/P. Site related work: sidewalk remova""}",https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=26CAP&capID2=00000&capID3=0091X&agencyCode=TAMPA,Values are source-reported states observed at two retrieval times.
chg-177ed2a5babab7b7,2026-09,2026-08-23,2026-09-01,description_changed,,construction_inspections,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-26-0524987,BLD-26-0524987,description,"{""description"": ""FEMA SFHA: LIMITED PRIVATE PROVIDER – PLAN REVIEW AND INSPECTIONS. CITY OF TAMPA WILL REVIEW FOR SUBSTANTIAL IMPROVEMENT (SI), FLOOD LOAD, AND FLOOD RESISTANT MATERIALS. IF PROJECT IS SI, THE CITY WILL TAKE LEAD ON REVIEWS FOR ALL ITEMS UP TO THE REQUIRED DFE. THE CITY WILL TAKE LEAD ON INSPECTI""}","{""description"": ""PP Plan Review & Inspections: FEMA SFHA: LIMITED PRIVATE PROVIDER – PLAN REVIEW AND INSPECTIONS. CITY OF TAMPA WILL REVIEW FOR SUBSTANTIAL IMPROVEMENT (SI), FLOOD LOAD, AND FLOOD RESISTANT MATERIALS. IF PROJECT IS SI, THE CITY WILL TAKE LEAD ON REVIEWS FOR ALL ITEMS UP TO THE REQUIRED DFE. THE C""}",https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=26CAP&capID2=00000&capID3=00QSR&agencyCode=TAMPA,Values are source-reported states observed at two retrieval times.
chg-4d98276afc79a310,2026-09,2026-08-23,2026-09-01,description_changed,,construction_inspections,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-26-0525401,BLD-26-0525401,description,"{""description"": ""Construction of a new two-story single-family residence featuring a covered entry and rear porches. The residence will have 4 bedrooms and 5 1/2 bathrooms, with a shingle roof. New paver driveway.""}","{""description"": ""PP Inspections: *Project is located in a Special Flood Hazard Area* Construction of a new two-story single-family residence featuring a covered entry and rear porches. The residence will have 4 bedrooms and 5 1/2 bathrooms, with a shingle roof. New paver driveway.""}",https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=26CAP&capID2=00000&capID3=00U0B&agencyCode=TAMPA,Values are source-reported states observed at two retrieval times.
chg-9dc13dae4d16661f,2026-09,2026-08-23,2026-09-01,description_changed,,construction_inspections,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-26-0526005,BLD-26-0526005,description,"{""description"": ""New Construction two story SFR""}","{""description"": ""PP Inspections: New Construction two story SFR""}",https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=26CAP&capID2=00000&capID3=01TAC&agencyCode=TAMPA,Values are source-reported states observed at two retrieval times.
chg-d7dfd65590925eb2,2026-09,2026-08-23,2026-09-01,description_changed,,construction_inspections,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-26-0526416,BLD-26-0526416,description,"{""description"": ""PP Plan Review & Inspections: NEW SFR - LOT 16 - BLOCK 6 - PP PLANS & INSP""}","{""description"": ""PP Plan Review & Inspections: *Project is located in a Special Flood Hazard Area* NEW SFR - LOT 16 - BLOCK 6""}",https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=26CAP&capID2=00000&capID3=01WRO&agencyCode=TAMPA,Values are source-reported states observed at two retrieval times.
chg-886f4372c3323fe1,2026-09,2026-08-23,2026-09-01,estimated_cost_changed,,capital_improvements,CAPITAL_IMPROVEMENTS|GLOBALID|{0739149C-D2DA-49ED-98BB-C7B92A31CD1F},0000000,estimated_cost,"{""estimated_cost"": ""14000000""}","{""estimated_cost"": ""14000000.0""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f0000000.pdf,Estimated cost is not actual spending or final project cost.
chg-4479cf1cd3689612,2026-09,2026-08-23,2026-09-01,estimated_cost_changed,,capital_improvements,CAPITAL_IMPROVEMENTS|GLOBALID|{4C7B242E-BD98-4BAB-94ED-21C782919B0C},N/A,estimated_cost,"{""estimated_cost"": ""1500000""}","{""estimated_cost"": ""1500000.0""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f,Estimated cost is not actual spending or final project cost.
chg-f7ea0db9a9a87b64,2026-09,2026-08-23,2026-09-01,estimated_cost_changed,,capital_improvements,CAPITAL_IMPROVEMENTS|GLOBALID|{5D6B5874-1E11-4E1E-B296-83BA965C7908},N/A,estimated_cost,"{""estimated_cost"": ""353000""}","{""estimated_cost"": ""353000.0""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2fN/A.pdf,Estimated cost is not actual spending or final project cost.
chg-4f05b0fcbd80f9ab,2026-09,2026-08-23,2026-09-01,estimated_cost_changed,,capital_improvements,CAPITAL_IMPROVEMENTS|GLOBALID|{6BE9C635-DDE7-4C5D-BD11-9BE8409C0E8A},0,estimated_cost,"{""estimated_cost"": ""651450""}","{""estimated_cost"": ""651450.0""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f0.pdf,Estimated cost is not actual spending or final project cost.
chg-68c657a1dbf8058e,2026-09,2026-08-23,2026-09-01,estimated_cost_changed,,capital_improvements,CAPITAL_IMPROVEMENTS|GLOBALID|{6DA0F1F8-80FB-456F-96AC-B902FC39F80A},N/A,estimated_cost,"{""estimated_cost"": ""900000""}","{""estimated_cost"": ""900000.0""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2fN/A.pdf,Estimated cost is not actual spending or final project cost.
chg-9c071153d3849e39,2026-09,2026-08-23,2026-09-01,estimated_cost_changed,,capital_improvements,CAPITAL_IMPROVEMENTS|GLOBALID|{813C9D1B-CBDE-4182-9E99-75122BDA2973},N/A,estimated_cost,"{""estimated_cost"": ""1200000""}","{""estimated_cost"": ""1200000.0""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2fN/A.pdf,Estimated cost is not actual spending or final project cost.
chg-ce080a73106a5fed,2026-09,2026-08-23,2026-09-01,estimated_cost_changed,,capital_improvements,CAPITAL_IMPROVEMENTS|GLOBALID|{94B1A0C4-AE44-4B8F-914F-C85DB845AA0A},N/A,estimated_cost,"{""estimated_cost"": ""1300000""}","{""estimated_cost"": ""1300000.0""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2fN/A.pdf,Estimated cost is not actual spending or final project cost.
chg-ab4d89fb0b8aa73c,2026-09,2026-08-23,2026-09-01,estimated_cost_changed,,capital_improvements,CAPITAL_IMPROVEMENTS|GLOBALID|{9EE35481-C6BC-4A83-BBD5-301A6BC9345F},0000000,estimated_cost,"{""estimated_cost"": ""50000000""}","{""estimated_cost"": ""50000000.0""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f0000000.pdf,Estimated cost is not actual spending or final project cost.
chg-497663e19b9d971f,2026-09,2026-08-23,2026-09-01,estimated_cost_changed,,capital_improvements,CAPITAL_IMPROVEMENTS|GLOBALID|{A2CB62BC-8C29-482A-8051-14F58DDA9738},N/A,estimated_cost,"{""estimated_cost"": ""900000""}","{""estimated_cost"": ""900000.0""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2fN/A.pdf,Estimated cost is not actual spending or final project cost.
